figure,dataset_index_paper,dataset,batch_size,floor,paper_improvement,point_color,source
10,9,wilt,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,10,Satellite,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,11,ringnorm,100,0.8,0.011319871334965953,positive,arXiv:2212.09900 Figure 10 vector PDF
10,12,mammography,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,13,delta_ailerons,100,0.8,0.0032224477969099163,positive,arXiv:2212.09900 Figure 10 vector PDF
10,14,PhishingWebsites,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,15,splice,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,16,pendigits,100,0.8,0.002512959171847351,positive,arXiv:2212.09900 Figure 10 vector PDF
10,17,texture,100,0.8,0.145181865498244,positive,arXiv:2212.09900 Figure 10 vector PDF
10,18,cardiotocography,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,19,volcanoes-d4,100,0.8,-0.02626760114047351,negative,arXiv:2212.09900 Figure 10 vector PDF
10,20,volcanoes-b3,100,0.8,0.01893916222150749,positive,arXiv:2212.09900 Figure 10 vector PDF
10,21,dis,100,0.8,0.005751927007686397,positive,arXiv:2212.09900 Figure 10 vector PDF
10,22,optdigits,100,0.8,0.004255832415864719,positive,arXiv:2212.09900 Figure 10 vector PDF
10,23,electricity,100,0.8,0.01650222303107518,positive,arXiv:2212.09900 Figure 10 vector PDF
10,24,kr-vs-kp,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,25,bank-marketing,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,26,satimage,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,27,MagicTelescope,100,0.8,0.004965323015156481,positive,arXiv:2212.09900 Figure 10 vector PDF
10,28,houses,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,30,car,100,0.8,-0.011584271334830712,negative,arXiv:2212.09900 Figure 10 vector PDF
10,1,Long,100,pure,0.0062531976256307575,positive,arXiv:2212.09900 Figure 10 vector PDF
10,2,cmc,100,pure,0.032527410770917364,positive,arXiv:2212.09900 Figure 10 vector PDF
10,3,artificial-characters,100,pure,0.02111390008109651,positive,arXiv:2212.09900 Figure 10 vector PDF
10,4,Click_prediction_small,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,5,allrep,100,pure,-0.012293759959893291,negative,arXiv:2212.09900 Figure 10 vector PDF
10,6,mfeat-morphological,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,7,satellite_image,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,8,jungle_chess_2pcs_endgame_elephant_elephant,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,9,wilt,100,pure,0.006785313600870396,positive,arXiv:2212.09900 Figure 10 vector PDF
10,10,Satellite,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,11,ringnorm,100,pure,0.011720886644783934,positive,arXiv:2212.09900 Figure 10 vector PDF
10,12,mammography,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,13,delta_ailerons,100,pure,0.002158213872201442,positive,arXiv:2212.09900 Figure 10 vector PDF
10,14,PhishingWebsites,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,15,splice,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,16,pendigits,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,17,texture,100,pure,-0.015640694443182557,negative,arXiv:2212.09900 Figure 10 vector PDF
10,18,cardiotocography,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,19,volcanoes-d4,100,pure,0.029997931560140884,positive,arXiv:2212.09900 Figure 10 vector PDF
10,20,volcanoes-b3,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,21,dis,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,22,optdigits,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,23,electricity,100,pure,0.01910882353200663,positive,arXiv:2212.09900 Figure 10 vector PDF
10,24,kr-vs-kp,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,25,bank-marketing,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,26,satimage,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,27,MagicTelescope,100,pure,0.009947164095012895,positive,arXiv:2212.09900 Figure 10 vector PDF
10,28,houses,100,pure,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
