figure,T,method,beta,paper_mean,paper_se,source,setting,batch_size,floor
7,1000,pess,5.0,1.6968890271602186,0.009028222161945956,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,2000,pess,5.0,1.8290891590876002,0.005933290550001062,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,5000,pess,5.0,1.9120910831059934,0.002750160862676971,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,500,pess,10.0,1.4719371398183472,0.010752084118676798,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,1000,pess,10.0,1.659942266546158,0.009461193039190883,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,2000,pess,10.0,1.7994227083901926,0.007905707733567377,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,5000,pess,10.0,1.9072482330909621,0.003656189852433087,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,500,greedy,0.0,1.576363053498366,0.00406510633592045,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,1000,greedy,0.0,1.6807248193915671,0.002958626801648375,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,2000,greedy,0.0,1.7173187959145024,0.002958628854246182,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,5000,greedy,0.0,1.654618345076758,0.0043056441157026705,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,500,pess,0.1,1.6439384241393542,0.008499037814866387,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,1000,pess,0.1,1.7698845450560285,0.004393842191081868,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,2000,pess,0.1,1.8421424003502005,0.003576011276704949,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,5000,pess,0.1,1.9021488083494447,0.002686015128457531,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,500,pess,0.2,1.6500962175750309,0.007416612674351876,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,1000,pess,0.2,1.7812059028096487,0.004987172272380877,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,2000,pess,0.2,1.8449967921297654,0.0035679938296516965,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,5000,pess,0.2,1.902726105589235,0.003014753036216756,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,500,pess,0.5,1.6499358522131833,0.007937779574378193,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,1000,pess,0.5,1.780885180296345,0.005355997415406364,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,2000,pess,0.5,1.847305964668144,0.003656189852433087,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,5000,pess,0.5,1.9037844742833943,0.0029185375137843065,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,500,pess,1.0,1.633835792231349,0.008458948527002318,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,1000,pess,1.0,1.780788962721315,0.004842845909835493,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,2000,pess,1.0,1.8439384234356062,0.003840603450244734,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,5000,pess,1.0,1.902629888014205,0.0028784482259202374,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,500,pess,5.0,1.5165169944401864,0.011634060767273156,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,1000,pess,5.0,1.7208466942984963,0.008130210619243093,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,2000,pess,5.0,1.8334188596496581,0.005091405241866579,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,5000,pess,5.0,1.8957344401872813,0.00322321897518816,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,500,pess,10.0,1.4885182794649414,0.00958948040243415,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,1000,pess,10.0,1.6617382896315638,0.00886786501048968,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,2000,pess,10.0,1.800160362781439,0.006670942888649843,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,5000,pess,10.0,1.8759461164596054,0.004369787797324304,arXiv:2212.09900 Figure 7 vector PDF,2,10,pure
7,500,greedy,0.0,1.5127004536341278,0.003752405392470518,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,1000,greedy,0.0,1.6011545869001602,0.00261385401204594,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,2000,greedy,0.0,1.6415330367230179,0.0022209744734196348,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,5000,greedy,0.0,1.7102629939556526,0.0019483648515476078,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,500,pess,0.1,1.6092687606107678,0.008050032081282906,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,1000,pess,0.1,1.7070558016491324,0.005724824637888545,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,2000,pess,0.1,1.7448364344067238,0.004866900326426861,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,5000,pess,0.1,1.8134701740638768,0.004065106354992515,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,500,pess,0.2,1.6138550359208297,0.009068313544953206,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
7,1000,pess,0.2,1.6992623504533335,0.005724822585290728,arXiv:2212.09900 Figure 7 vector PDF,2,100,0.2
