setting_name,T,method,paper_mean,paper_se,paper_count,digitization_resolution,source
Uniform,2000,pess_0.1,0.029733132538604528,0.0006977568405582444,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,5000,pess_0.1,0.0312705029950627,0.0006919940601372123,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,10000,pess_0.1,0.030082454175483383,0.000687560986257993,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,20000,pess_0.1,0.030681797865381246,0.0006990868875557725,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,100,pess_0.2,0.03129887430473694,0.0006933238801642636,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,500,pess_0.2,0.03177054710110072,0.0006880042596003434,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,1000,pess_0.2,0.030740314032040084,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,2000,pess_0.2,0.029649791702951206,0.0006977569540434829,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,5000,pess_0.2,0.03112155316533198,0.0006924373334795627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,10000,pess_0.2,0.030222537630485186,0.0006866743260880537,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,20000,pess_0.2,0.03063037498008192,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,100,pess_0.5,0.030999202005847055,0.0006933238801642636,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,500,pess_0.5,0.03191063055610252,0.0006888909197702826,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,1000,pess_0.5,0.030889263407829846,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,2000,pess_0.5,0.029692348667462568,0.0006977568405582444,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,5000,pess_0.5,0.03073144811125212,0.0006924373334795627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,10000,pess_0.5,0.030249135846790023,0.000687560986257993,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,20000,pess_0.5,0.030813015399595085,0.0006982002273858333,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,100,pess_1,0.03172976322995876,0.0006924373334795627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,500,pess_1,0.03162159772531095,0.000687560986257993,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,1000,pess_1,0.030681797865381246,0.0006990868875557725,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,2000,pess_1,0.02941040866408956,0.0006977568405582444,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,5000,pess_1,0.03067115885122388,0.0006919939466519738,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,10000,pess_1,0.03025977486094739,0.000687560986257993,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,20000,pess_1,0.030921180904242892,0.0006977569540434829,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,100,pess_2,0.032343293028634694,0.0006933238801642636,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,500,pess_2,0.031403493168704985,0.0006888908062850442,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,1000,pess_2,0.031048851797776975,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,2000,pess_2,0.030681797865381246,0.0006982002273858333,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,5000,pess_2,0.03132192588036202,0.0006919939466519738,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,10000,pess_2,0.03082188132038305,0.0006880042596003434,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,20000,pess_2,0.03055767361252692,0.0006977568405582444,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,100,pess_5,0.0329692349348374,0.0006933238801642636,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,500,pess_5,0.03330082473014033,0.0006888908062850442,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,1000,pess_5,0.03176168118031276,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,2000,pess_5,0.03193013549104785,0.0006977569540434829,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,5000,pess_5,0.03151165912729375,0.0006924373334795627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,10000,pess_5,0.031249224058866064,0.0006866743260880537,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,20000,pess_5,0.030880397033100932,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,100,pess_10,0.03350828981864798,0.0006933238801642636,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,500,pess_10,0.03395868413275608,0.0006888909197702826,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,1000,pess_10,0.033041936302392404,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,2000,pess_10,0.03262877921874651,0.0006977569540434829,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,5000,pess_10,0.031671247517240875,0.0006919939466519738,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,10000,pess_10,0.031651742128354594,0.0006875608727727545,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,20000,pess_10,0.031031119956201052,0.0006990868875557725,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
