figure,T,method,beta,paper_mean,paper_se,source,scenario,decay
5,5000,lin,0.01,1.3066672705025386,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,0.1,1.1365084345384697,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,0.1,1.2082959430569957,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,0.1,1.2334215710384795,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,lin,0.1,1.3069476868683139,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,0.2,1.1577642707282525,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,0.2,1.221083093011858,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,0.2,1.2495176800534935,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,lin,0.2,1.3136777657919256,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,0.5,1.220354004717842,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,0.5,1.2605662226970473,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,0.5,1.2882717214446666,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,lin,0.5,1.316538052923836,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,1.0,1.2796347796472807,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,1.0,1.298310745070928,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,1.0,1.3135655906311148,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,lin,1.0,1.3243337169088933,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,5.0,1.3254553967294953,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,5.0,1.3376817139528079,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,5.0,1.3330828195095887,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,lin,5.0,1.3361113622039649,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,10.0,1.3352140183474832,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,10.0,1.3331949946704,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,10.0,1.3377938747561169,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,lin,10.0,1.337064786462101,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,greedy,0.0,1.8088993994089422,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,greedy,0.0,1.7615084305778845,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,greedy,0.0,1.705929191877682,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,greedy,0.0,1.608735639011897,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,pess,0.1,1.9798994844703364,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,pess,0.1,1.986741738554759,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,pess,0.1,1.9870782353221887,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,pess,0.1,1.97872172424808,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,pess,0.2,1.980740747925163,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,pess,0.2,1.985620058734157,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,pess,0.2,1.9884803458660678,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,pess,0.2,1.9778804751507546,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,pess,0.5,1.983040187968022,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,pess,0.5,1.9889290177943084,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,pess,0.5,1.9883681707052565,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,pess,0.5,1.977151372499237,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,pess,1.0,1.9837692906195392,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,pess,1.0,1.9876390824112407,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,pess,1.0,1.987919498777016,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,pess,1.0,1.9781608915165294,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,pess,5.0,1.981301595014215,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,pess,5.0,1.985620058734157,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,pess,5.0,1.9890411785976179,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,pess,5.0,1.9777122195882888,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,pess,10.0,1.9809090034876289,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,pess,10.0,1.9859004750999323,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,pess,10.0,1.9881999295002926,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,pess,10.0,1.9740106690015513,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,0.0001,1.1744212124748166,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,0.0001,1.150753761081364,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,lin,0.0001,1.1621949096090058,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,0.0001,1.1344894108613865,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,0.001,1.1705514206831151,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,0.001,1.1457062090674062,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,lin,0.001,1.1669620452571885,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,0.001,1.1386957137780191,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,0.01,1.1741407961090413,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,0.01,1.1514267833312268,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,lin,0.01,1.1655038543116554,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,0.01,1.1380787862873127,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,0.1,1.1976960723416825,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,0.1,1.1777301715349675,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
